Player,Team,Age,Position,Salary
Kevin Durant,GSW,28,F,26540100
Klay Thompson,GSW,27,G,16663575
Draymond Green,GSW,27,F,15330435
Stephen Curry,GSW,29,G,12112359
Andre Iguodala,GSW,33,F,11131368
Shaun Livingston,GSW,31,G,5782450
Zaza Pachulia,GSW,33,C,2898000
David West,GSW,36,C,1551659
JaVale McGee,GSW,29,C,1403611
Kevon Looney,GSW,21,C,1182840
Damian Jones,GSW,21,C,1171560
Ian Clark,GSW,26,G,1015696
James Michael McAdoo,GSW,24,F,980431
Patrick McCaw,GSW,21,G,543471
LeBron James,CLE,32,F,30963450
Kevin Love,CLE,28,F,21165675
Kyrie Irving,CLE,25,G,17638063
Tristan Thompson,CLE,26,C,15330435
J.R. Smith,CLE,31,G,12800000
Iman Shumpert,CLE,26,G,9700000
Channing Frye,CLE,34,C,7806971
Kyle Korver,CLE,36,G,5239437
Richard Jefferson,CLE,36,F,2500000
James Jones,CLE,36,F,1551659
Kay Felder,CLE,22,G,543471
Derrick Williams,CLE,26,G,268029
Deron Williams,CLE,32,G,259626
Dahntay Jones,CLE,36,F,5767
Derrick Williams,CLE,26,F,134014
Dahntay Jones,CLE,36,F,18255
