Rk,Team,2018-19
1,Miami Heat,151687967 
2,Golden State Warriors,148093414 
3,Oklahoma City Thunder,145625023 
4,Toronto Raptors,136224561 
5,Portland Trail Blazers,132512464 
6,Milwaukee Bucks,125884880 
7,Boston Celtics,125524849 
8,Detroit Pistons,125244035 
9,Memphis Grizzlies,124777744 
10,Cleveland Cavaliers,124623505 
11,Washington Wizards,124247583 
12,Houston Rockets,123781511 
13,New York Knicks,122961124 
14,Charlotte Hornets,122327044 
15,Minnesota Timberwolves,121958627 
16,San Antonio Spurs,121586071 
17,Los Angeles Clippers,118570702 
18,Brooklyn Nets,118267134 
19,Denver Nuggets,117738402 
20,New Orleans Pelicans,114806901 
21,Orlando Magic,114497306 
22,Utah Jazz,113144016 
23,Philadelphia 76ers,112883127 
24,Chicago Bulls,112799337 
25,Phoenix Suns,111515634 
26,Indiana Pacers,110804431 
27,Atlanta Hawks,107748156 
28,Los Angeles Lakers,107194758 
29,Sacramento Kings,103537060 
30,Dallas Mavericks,87820480 
