Rk,Player,Salary
1,Giannis Antetokounmpo,24157304 
2,George Hill,19000000 
3,Eric Bledsoe,15000000 
4,Khris Middleton,13000000 
5,Nikola Mirotić,12500000 
6,Tony Snell,10607143 
7,Ersan İlyasova,7000000 
8,Mirza Teletović,3500000 
9,Jodie Meeks,3454500 
10,Brook Lopez,3382000 
11,D.J. Wilson,2534280 
12,Donte DiVincenzo,2481000 
13,Spencer Hawes,2007058 
14,Larry Sanders,1865547 
15,Pat Connaughton,1641000 
16,Malcolm Brogdon,1544951 
17,Sterling Brown,1378242 
18,Pau Gasol,527467 
19,Tim Frazier,210692 
20,Isaiah Canaan,99290 
21,Bonzie Colson,0 
