Player,Team,Age,Pos,Salary
Stephen Curry,GSW,31,G,37457154
Kevin Durant,GSW,30,F,30000000
Klay Thompson,GSW,29,G,18988725
Draymond Green,GSW,29,F,17469565
Andre Iguodala,GSW,35,F,16000000
Shaun Livingston,GSW,33,G,8307692
DeMarcus Cousins,GSW,28,C,5337000
Andrew Bogut,GSW,34,C,2393887
Jonas Jerebko,GSW,32,F,2165481
Jacob Evans,GSW,21,F,1644240
Kevin Looney,GSW,23,F,1567007
Quinn Cook,GSW,26,G,1544951
Damian Jones,GSW,23,C,1544951
Jordan Bell,GSW,24,C,1378252
Alfonzo McKinnie,GSW,26,F,1349383
Kyle Lowry,TOR,33,G,31200000
Marc Gasol,TOR,34,C,24119025
Kawhi Leonard,TOR,27,F,23114067
Serge Ibaka,TOR,29,C,21666667
Danny Green,TOR,31,G,10000000
Norman Powell,TOR,25,G,9367200
Fred VanVleet,TOR,25,G,8653847
OG Anunoby,TOR,21,F,1952760
Pascal Siakam,TOR,24,F,1544951
Patrick McCaw,TOR,24,G,786000
Jeremy Lin,TOR,30,G,697000
Malcolm Miller,TOR,26,F,457418
Chris Boucher,TOR,26,F,457418
Jodie Meeks,TOR,31,G,196724
