Year,Team,Team Payroll (USD),Current USD,,
2018-19,Miami,153171497 ,156701881 ,,
2018-19,Golden State,146291276 ,149663080 ,,
2018-19,Oklahoma City,144916427 ,148256541 ,,
2018-19,Toronto,137793831 ,140969781 ,,
2018-19,Milwaukee,130988604 ,134007700 ,,
2018-19,Portland,130256600 ,133258826 ,,
2018-19,Detroit,126557932 ,129474908 ,,
2018-19,Houston,126474100 ,129389144 ,,
2018-19,Memphis,126107461 ,129014051 ,,
2018-19,Boston,125334993 ,128223783 ,,
2018-19,Washington,123747588 ,126599790 ,,
2018-19,New York,123387454 ,126231354 ,,
2018-19,Cleveland,123255073 ,126095922 ,,
2018-19,Minnesota,121962221 ,124773273 ,,
2018-19,San Antonio,121588790 ,124391233 ,,
2018-19,Charlotte,121427859 ,124226596 ,,
2018-19,Brooklyn,118850600 ,121589931 ,,
2018-19,Denver,118327016 ,121054282 ,,
2018-19,LA Clippers,118026816 ,120747162 ,,
2018-19,New Orleans,116052756 ,118727603 ,,
2018-19,Philadelphia,115127167 ,117780678 ,,
2018-19,Orlando,114394213 ,117030832 ,,
2018-19,Utah,113826156 ,116449685 ,,
2018-19,Chicago,112598201 ,115193422 ,,
2018-19,Indiana,110724804 ,113276848 ,,
2018-19,Phoenix,108692835 ,111198041 ,,
2018-19,LA Lakers,107225482 ,109696872 ,,
2018-19,Sacramento,101466920 ,103805581 ,,
2018-19,Dallas,86958881 ,88963153 ,,
2018-19,Atlanta,79180081 ,81005062 ,,
