Season,Tm,G,W,L,W/L%
1990-91,Atlanta,82,43,39,0.524
1990-91,Boston,82,56,26,0.683
1990-91,Brooklyn,82,26,56,0.317
1990-91,Charlotte,82,61,21,0.744
1990-91,Chicago,82,33,49,0.402
1990-91,Cleveland,82,28,54,0.341
1990-91,Dallas,82,20,62,0.244
1990-91,Denver,82,50,32,0.61
1990-91,Detroit,82,44,38,0.537
1990-91,Golden State,82,52,30,0.634
1990-91,Houston,82,41,41,0.5
1990-91,Indiana,82,31,51,0.378
1990-91,LA Clippers,82,58,24,0.707
1990-91,LA Lakers,82,24,58,0.293
1990-91,Miami,82,48,34,0.585
1990-91,Milwaukee,82,29,53,0.354
1990-91,Minnesota,82,26,56,0.317
1990-91,New York,82,39,43,0.476
1990-91,Oklahoma City,82,31,51,0.378
1990-91,Orlando,82,44,38,0.537
1990-91,Philadelphia,82,55,27,0.671
1990-91,Phoenix,82,63,19,0.768
1990-91,Portland,82,25,57,0.305
1990-91,Sacramento,82,55,27,0.671
1990-91,San Antonio,82,41,41,0.5
1990-91,Utah,82,54,28,0.659
1990-91,Washington,82,30,52,0.366
1991-92,Atlanta,82,38,44,0.463
1991-92,Boston,82,51,31,0.622
1991-92,Brooklyn,82,31,51,0.378
1991-92,Charlotte,82,67,15,0.817
1991-92,Chicago,82,57,25,0.695
1991-92,Cleveland,82,22,60,0.268
1991-92,Dallas,82,24,58,0.293
1991-92,Denver,82,48,34,0.585
1991-92,Detroit,82,55,27,0.671
1991-92,Golden State,82,42,40,0.512
1991-92,Houston,82,40,42,0.488
1991-92,Indiana,82,45,37,0.549
1991-92,LA Clippers,82,43,39,0.524
1991-92,LA Lakers,82,38,44,0.463
1991-92,Miami,82,31,51,0.378
1991-92,Milwaukee,82,15,67,0.183
1991-92,Minnesota,82,40,42,0.488
1991-92,New York,82,51,31,0.622
1991-92,Oklahoma City,82,21,61,0.256
1991-92,Orlando,82,35,47,0.427
1991-92,Philadelphia,82,53,29,0.646
1991-92,Phoenix,82,57,25,0.695
1991-92,Portland,82,29,53,0.354
1991-92,Sacramento,82,47,35,0.573
1991-92,San Antonio,82,47,35,0.573
1991-92,Utah,82,55,27,0.671
1991-92,Washington,82,25,57,0.305
1992-93,Atlanta,82,43,39,0.524
1992-93,Boston,82,48,34,0.585
1992-93,Brooklyn,82,44,38,0.537
1992-93,Charlotte,82,57,25,0.695
1992-93,Chicago,82,54,28,0.659
1992-93,Cleveland,82,11,71,0.134
1992-93,Dallas,82,36,46,0.439
1992-93,Denver,82,40,42,0.488
1992-93,Detroit,82,34,48,0.415
1992-93,Golden State,82,55,27,0.671
1992-93,Houston,82,41,41,0.5
1992-93,Indiana,82,41,41,0.5
1992-93,LA Clippers,82,39,43,0.476
1992-93,LA Lakers,82,36,46,0.439
1992-93,Miami,82,28,54,0.341
1992-93,Milwaukee,82,19,63,0.232
1992-93,Minnesota,82,43,39,0.524
1992-93,New York,82,60,22,0.732
1992-93,Oklahoma City,82,41,41,0.5
1992-93,Orlando,82,26,56,0.317
1992-93,Philadelphia,82,62,20,0.756
1992-93,Phoenix,82,51,31,0.622
1992-93,Portland,82,25,57,0.305
1992-93,Sacramento,82,49,33,0.598
1992-93,San Antonio,82,55,27,0.671
1992-93,Utah,82,47,35,0.573
1992-93,Washington,82,22,60,0.268
1993-94,Atlanta,82,57,25,0.695
1993-94,Boston,82,32,50,0.39
1993-94,Brooklyn,82,41,41,0.5
1993-94,Charlotte,82,55,27,0.671
1993-94,Chicago,82,47,35,0.573
1993-94,Cleveland,82,13,69,0.159
1993-94,Dallas,82,42,40,0.512
1993-94,Denver,82,20,62,0.244
1993-94,Detroit,82,50,32,0.61
1993-94,Golden State,82,58,24,0.707
1993-94,Houston,82,47,35,0.573
1993-94,Indiana,82,27,55,0.329
1993-94,LA Clippers,82,33,49,0.402
1993-94,LA Lakers,82,42,40,0.512
1993-94,Miami,82,20,62,0.244
1993-94,Milwaukee,82,20,62,0.244
1993-94,Minnesota,82,45,37,0.549
1993-94,New York,82,57,25,0.695
