Rk,Player,Salary
1,DeAndre Jordan,22897200.00
2,Enes Kanter,18622514.00
3,Wesley Matthews,18622514.00
4,Joakim Noah,18530000.00
5,Lance Thomas,7119650.00
6,Mario Hezonja,6500000.00
7,Ron Baker,4544400.00
8,Emmanuel Mudiay,4294480.00
9,Frank Ntilikina,4155720.00
10,Dennis Smith,3819960.00
11,Kevin Knox,3739920.00
12,Allonzo Trier,3382000.00
13,Noah Vonleh,1621415.00
14,Luke Kornet,1619260.00
15,Mitchell Robinson,1485440.00
16,Damyean Dotson,1378242.00
17,John Jenkins,585810.00
18,Henry Ellenson,427289.00
19,Billy Garrett,42634.00
