Season,Player,Team,Salary
1984-85,Magic Johnson,LA Lakers,2500000
1985-86,Magic Johnson,LA Lakers,2500000
1986-87,Magic Johnson,LA Lakers,2500000
1987-88,Patrick Ewing,New York,2750000
1988-89,Patrick Ewing,New York,3250000
1989-90,Patrick Ewing,New York,3750000
1990-91,Patrick Ewing,New York,4250000
1991-92,Larry Bird,Boston,7070000
1992-93,David Robinson,San Antonio,5720000
1993-94,David Robinson,San Antonio,5740000
1994-95,Magic Johnson,LA Lakers,14660000
1995-96,Patrick Ewing,New York,18724000
1996-97,Michael Jordan,Chicago,30140000
1997-98,Michael Jordan,Chicago,33140000
1998-99,Patrick Ewing,New York,18500000
1999-00,Shaquille O'Neal,LA Lakers,17142000
2000-01,Kevin Garnett,Minnesota,19600000
2001-02,Kevin Garnett,Minnesota,22400000
2002-03,Kevin Garnett,Minnesota,25200000
2003-04,Kevin Garnett,Minnesota,28000000
2004-05,Shaquille O'Neal,Miami,27696430
2005-06,Shaquille O'Neal,Miami,20000000
2006-07,Kevin Garnett,Minnesota,21000000
2007-08,Kevin Garnett,Boston,23751934
2008-09,Kevin Garnett,Boston,24751934
2009–10,Kobe Bryant,LA Lakers,23034375
2010–11,Kobe Bryant,LA Lakers,24806250
2011-12,Kobe Bryant,LA Lakers,25244493
2012-13,Kobe Bryant,LA Lakers,30453805
2013-14,Kobe Bryant,LA Lakers,30453805
2014-15,Kobe Bryant,LA Lakers,23500000
2015-16,Kobe Bryant,LA Lakers,25000000
2016-17,LeBron James,Cleveland,30963450
2017-18,Stephen Curry,Golden State,34682550
2018-19,Stephen Curry,Golden State,37457154
2019–20,Stephen Curry,Golden State,40231758
2020-21,Stephen Curry,Golden State,43006362
